lwage76,constant,ed76,exp76,exp762,black,reg76r,smsa76r,region_1966,smsa66r,daded,momed,nodaded,nomomed,famed,momdad14,sinmom14,nearc4
6.55108034,1,12,15,2.25,0,0,0,1,1,7,10.25,0,1,9,1,0,1
5.52146092,1,18,9,.81,0,1,1,1,1,16,16,0,0,1,1,0,1
6.43775165,1,11,10,1,0,0,1,1,1,11,9,0,0,7,1,0,1
6.03308622,1,13,12,1.4400001,0,0,1,1,1,8,12,0,0,6,1,0,1
6.35610766,1,13,9,.81,0,0,1,1,1,8,12,0,0,6,1,0,1
6.41836494,1,12,8,.63999999,1,0,1,1,1,12,9,0,0,5,1,0,1
6.55108034,1,12,13,1.6900001,0,0,1,1,1,11,9,0,0,7,1,0,1
6.10924758,1,12,6,.36000001,0,0,1,1,1,11,9,0,0,7,1,0,1
6.2146081,1,16,6,.36000001,0,0,1,1,1,9.94,12,1,0,4,0,1,1
6.24222327,1,12,7,.49000001,0,0,0,1,1,12,10.25,0,1,5,1,0,1
5.52146092,1,16,3,.090000004,0,0,1,1,1,12,12,0,0,3,1,0,1
5.75257264,1,12,6,.36000001,0,0,0,1,1,12,12,0,0,3,1,0,1
5.92692603,1,12,11,1.21,0,0,1,1,1,9,12,0,0,6,1,0,1
6.12468339,1,15,13,1.6900001,0,0,0,1,1,9.94,12,1,0,4,0,1,1
5.6167711,1,12,9,.81,1,0,1,1,1,9.94,10.25,1,1,9,0,0,1
6.85751406,1,12,10,1,0,0,1,1,1,9.94,12,1,0,4,0,1,1
7.01660968,1,16,10,1,0,0,1,1,0,8,9,0,0,8,1,0,1
5.66642669,1,16,3,.090000004,0,0,0,1,1,12,14,0,0,2,1,0,1
6.2146081,1,16,3,.090000004,0,0,1,1,1,9.94,10.25,1,1,9,0,0,1
6.58755001,1,18,8,.63999999,0,0,1,1,1,16,12,0,0,2,1,0,1
7.1428274,1,18,5,.25,0,0,1,1,1,18,12,0,0,2,1,0,1
6.41836494,1,17,3,.090000004,1,0,1,1,1,18,18,0,0,1,1,0,1
6.30078579,1,12,10,1,0,0,1,1,1,10,11,0,0,7,1,0,1
5.62762111,1,13,9,.81,0,0,1,1,1,12,8,0,0,5,1,0,1
7.27378632,1,18,10,1,0,0,1,1,1,16,12,0,0,2,1,0,1
6.90274274,1,16,5,.25,0,0,1,1,1,16,12,0,0,2,1,0,1
6.55108034,1,12,11,1.21,0,0,1,1,1,11,11,0,0,7,1,0,1
6.35784227,1,16,6,.36000001,0,0,1,1,1,9,12,0,0,6,1,0,1
6.7546041,1,16,9,.81,0,0,1,1,1,6,12,0,0,6,1,0,1
6.53087763,1,12,10,1,0,0,1,1,1,12,10.25,0,1,5,0,0,1
6.72383244,1,15,10,1,0,0,1,1,1,11,10.25,0,1,9,1,0,1
6.45047042,1,13,14,1.96,0,0,1,1,1,13,8,0,0,5,1,0,1
6.53524127,1,12,14,1.96,0,0,1,1,1,12,12,0,0,3,1,0,1
6.64509097,1,14,10,1,0,0,1,1,1,8,8,0,0,8,1,0,1
5.95324333,1,15,6,.36000001,0,0,1,1,1,12,14,0,0,2,1,0,1
6.10924758,1,12,6,.36000001,0,0,1,1,1,12,14,0,0,2,1,0,1
6.42162227,1,12,9,.81,0,0,1,1,1,10,12,0,0,6,1,0,1
6.52502966,1,12,16,2.5599999,0,0,1,1,1,9.94,8,1,0,9,0,1,1
6.50727771,1,10,16,2.5599999,0,0,1,1,1,9.94,10.25,1,1,9,0,1,1
6.68461173,1,11,16,2.5599999,0,0,1,1,1,8,8,0,0,8,1,0,1
6.22455843,1,14,14,1.96,0,0,1,1,1,8,8,0,0,8,1,0,1
6.93342303,1,18,6,.36000001,0,0,1,1,1,12,16,0,0,2,1,0,1
6.64509097,1,15,4,.16,0,0,1,1,1,16,12,0,0,2,1,0,1
5.66988092,1,10,16,2.5599999,0,1,1,1,1,10,14,0,0,6,1,0,1
6.27098843,1,13,9,.81,0,0,1,1,1,9.94,8,1,0,9,0,1,1
7.05098945,1,16,7,.49000001,0,0,1,1,0,12,12,0,0,3,1,0,1
6.30809844,1,10,13,1.6900001,0,0,1,1,1,12,10.25,0,1,5,0,0,1
6.1633148,1,12,8,.63999999,0,0,1,1,1,8,12,0,0,6,1,0,1
6.10924758,1,12,8,.63999999,0,0,1,1,1,12,12,0,0,3,1,0,1
6.77422389,1,17,4,.16,0,0,1,1,1,10,10.25,0,1,9,0,0,1
5.29831737,1,15,4,.16,0,0,1,1,1,10,10.25,0,1,9,0,0,1
5.70378247,1,13,7,.49000001,0,0,0,1,1,16,16,0,0,1,1,0,1
6.13556489,1,16,3,.090000004,0,0,0,1,1,16,10.25,0,1,5,1,0,1
5.95324333,1,12,12,1.4400001,0,0,1,1,1,13,12,0,0,2,1,0,1
7.15617664,1,15,11,1.21,0,0,1,1,1,16,16,0,0,1,1,0,1
6.37672695,1,16,3,.090000004,0,0,1,1,1,12,12,0,0,3,1,0,1
6.39692966,1,12,9,.81,0,0,1,1,1,17,16,0,0,1,1,0,1
6.2146081,1,16,8,.63999999,0,0,1,1,0,6,10.25,0,1,9,0,0,1
6.08677473,1,12,15,2.25,1,0,1,1,1,8,8,0,0,8,1,0,1
6.14632926,1,18,2,.039999999,0,1,1,2,1,13,16,0,0,1,1,0,1
6.83410874,1,17,6,.36000001,0,0,1,2,1,14,12,0,0,2,1,0,1
6.32076829,1,16,5,.25,0,0,1,2,1,14,12,0,0,2,1,0,1
6.08221891,1,13,5,.25,0,0,1,2,1,14,12,0,0,2,1,0,1
6.39692966,1,12,11,1.21,1,0,1,2,1,9,10,0,0,7,0,0,1
6.35437004,1,12,8,.63999999,1,0,1,2,1,9,10,0,0,7,1,0,1
5.96357934,1,12,8,.63999999,1,0,1,2,1,9,10,0,0,7,1,0,1
6.67834211,1,12,16,2.5599999,0,0,0,2,0,12,10.25,0,1,5,0,0,1
6.15485809,1,18,3,.090000004,0,0,1,2,1,18,16,0,0,1,1,0,1
5.3082677,1,17,3,.090000004,0,0,1,2,1,18,16,0,0,1,1,0,1
5.29831737,1,17,1,.0099999998,0,0,1,2,1,18,16,0,0,1,1,0,1
5.85793315,1,17,1,.0099999998,0,0,1,2,1,15,17,0,0,1,0,0,1
5.92692603,1,14,4,.16,0,0,0,2,1,10,12,0,0,6,1,0,1
6.17586727,1,16,3,.090000004,0,0,1,2,1,12,9,0,0,5,1,0,1
6.86901445,1,18,7,.49000001,0,0,1,2,1,8,8,0,0,8,1,0,1
6.04737218,1,15,6,.36000001,0,0,1,2,1,12,12,0,0,3,0,0,1
6.2146081,1,15,6,.36000001,0,0,1,2,1,11,12,0,0,6,1,0,1
6.10924758,1,9,15,2.25,0,0,1,2,1,9.94,11,1,0,9,1,0,1
6.16541785,1,8,14,1.96,0,0,1,2,1,8,9,0,0,8,1,0,1
4.91265489,1,12,6,.36000001,0,0,1,2,1,8,9,0,0,8,1,0,1
6.35437004,1,12,14,1.96,0,0,1,2,0,10,9,0,0,7,1,0,1
6.35784227,1,12,15,2.25,0,0,1,2,0,10,8,0,0,8,0,0,1
5.7365723,1,12,13,1.6900001,0,0,1,2,1,8,9,0,0,8,1,0,1
6.55108034,1,9,15,2.25,0,0,1,2,1,12,12,0,0,3,1,0,1
7.18690102,1,14,12,1.4400001,0,0,1,1,0,9.94,12,1,0,4,1,0,1
6.31173481,1,10,18,3.24,0,0,1,1,0,12,9,0,0,5,1,0,1
6.78105763,1,17,7,.49000001,0,0,1,1,1,8,8,0,0,8,1,0,1
6.63331843,1,12,7,.49000001,0,0,1,1,1,7,12,0,0,6,1,0,1
6.56244409,1,12,14,1.96,0,0,1,1,1,8,11,0,0,8,1,0,1
6.05208917,1,12,8,.63999999,0,0,1,1,1,8,8,0,0,8,1,0,1
6.05678401,1,12,8,.63999999,0,0,1,1,1,9.94,9,1,0,9,0,1,1
6.35610766,1,16,2,.039999999,0,0,1,1,1,9.94,9,1,0,9,0,1,1
5.99146455,1,9,17,2.8900001,0,0,1,1,1,9.94,4,1,0,9,1,0,1
6.2146081,1,12,13,1.6900001,0,0,0,1,1,8,5,0,0,8,1,0,1
6.27476202,1,12,10,1,0,0,0,1,1,8,5,0,0,8,1,0,1
6.51174533,1,16,6,.36000001,0,0,1,1,0,12,12,0,0,3,1,0,1
6.35784227,1,16,5,.25,0,1,1,1,0,12,12,0,0,3,1,0,1
5.78382518,1,16,2,.039999999,0,0,1,1,1,16,12,0,0,2,1,0,1
6.2146081,1,11,12,1.4400001,0,0,0,1,0,7,11,0,0,8,1,0,1
6.64639051,1,12,7,.49000001,0,0,0,1,0,7,11,0,0,8,1,0,1
6.2146081,1,12,8,.63999999,0,0,1,1,0,7,12,0,0,6,1,0,1
5.96870756,1,16,6,.36000001,0,0,1,1,1,14,12,0,0,2,1,0,1
6.69703425,1,12,16,2.5599999,0,0,1,1,1,12,10,0,0,5,1,0,1
6.29710932,1,9,19,3.6099999,1,0,0,2,0,12,10.25,0,1,5,1,0,1
6.3851944,1,9,19,3.6099999,1,0,0,2,0,12,12,0,0,3,1,0,1
6.76157277,1,17,2,.039999999,0,0,1,2,0,12,12,0,0,3,1,0,1
6.55108034,1,10,12,1.4400001,1,0,0,2,0,9.94,8,1,0,9,1,0,1
6.23441073,1,12,7,.49000001,0,0,0,2,0,12,12,0,0,3,1,0,1
6.42162227,1,13,15,2.25,0,0,1,2,1,9,12,0,0,6,1,0,1
6.63463336,1,14,9,.81,0,0,1,2,0,9,8,0,0,8,1,0,1
6.20050917,1,10,15,2.25,0,0,1,2,1,9.94,10.25,1,1,9,1,0,1
6.09807428,1,16,2,.039999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.05208917,1,12,7,.49000001,0,0,1,2,1,8,9,0,0,8,1,0,1
6.62007321,1,16,2,.039999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.55108034,1,16,2,.039999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.08221891,1,12,6,.36000001,0,0,1,2,1,9,9,0,0,7,1,0,1
6.41017488,1,12,11,1.21,0,0,1,2,1,12,12,0,0,3,1,0,1
6.10924758,1,13,5,.25,0,0,1,2,1,7,8,0,0,8,1,0,1
5.74620319,1,3,17,2.8900001,0,0,1,2,1,4,0,0,0,8,1,0,1
5.52146092,1,7,20,4,1,0,1,2,1,6,5,0,0,8,1,0,1
6.2146081,1,14,13,1.6900001,0,0,1,2,1,12,12,0,0,3,1,0,1
5.89989735,1,12,8,.63999999,0,0,1,2,0,11,12,0,0,6,1,0,0
6.70073111,1,12,8,.63999999,0,0,1,2,0,10,12,0,0,6,1,0,0
5.78689738,1,12,7,.49000001,0,0,0,2,0,10,12,0,0,6,1,0,0
6.26149168,1,12,11,1.21,0,0,0,2,0,9.94,10,1,0,9,0,1,0
6.70318811,1,13,9,.81,0,0,1,2,0,9,12,0,0,6,1,0,0
6.62007321,1,12,10,1,0,0,1,2,1,11,12,0,0,6,0,0,0
6.26339826,1,17,1,.0099999998,0,0,1,2,1,9,10,0,0,7,1,0,0
7.02553831,1,12,14,1.96,0,0,1,2,1,8,12,0,0,6,1,0,0
6.43775165,1,12,10,1,0,0,1,2,1,8,9,0,0,8,1,0,0
6.57228254,1,14,5,.25,0,0,1,2,1,12,12,0,0,3,1,0,0
6.38181602,1,12,13,1.6900001,0,0,0,2,0,8,12,0,0,6,1,0,0
6.00141488,1,17,4,.16,0,0,1,2,1,12,12,0,0,3,1,0,0
6.51471269,1,12,10,1,0,0,1,1,1,10,12,0,0,6,1,0,1
6.09582456,1,12,7,.49000001,0,0,1,1,1,10,12,0,0,6,1,0,1
6.19031541,1,12,6,.36000001,0,0,1,1,1,10,12,0,0,6,1,0,1
6.54391185,1,9,19,3.6099999,0,0,1,1,1,10,6,0,0,8,1,0,1
6.55108034,1,12,7,.49000001,0,1,1,1,1,10,12,0,0,6,1,0,1
5.78382518,1,12,6,.36000001,0,1,1,1,1,7,10,0,0,8,1,0,1
6.32076829,1,9,10,1,0,0,1,1,1,12,11,0,0,5,1,0,1
5.78382518,1,12,8,.63999999,0,0,1,2,1,8,12,0,0,6,1,0,1
6.50428817,1,13,7,.49000001,0,0,1,2,1,15,16,0,0,1,1,0,1
7.7848893,1,18,7,.49000001,0,0,1,2,0,18,16,0,0,1,1,0,1
6.63068339,1,16,3,.090000004,0,0,1,2,1,12,14,0,0,2,1,0,1
6.89365635,1,16,12,1.4400001,0,0,1,2,1,12,12,0,0,3,1,0,1
6.35784227,1,12,7,.49000001,0,0,1,2,1,12,12,0,0,3,1,0,1
5.65599181,1,17,6,.36000001,0,0,0,2,1,12,12,0,0,3,1,0,1
5.44241771,1,14,8,.63999999,0,1,1,2,1,18,16,0,0,1,1,0,1
6.24027585,1,12,7,.49000001,0,0,1,2,1,7,10,0,0,8,1,0,1
