stdntid,grade,outcome,issmall,yearsstar,yearssmall,iswhite,isfreelunch,isfemale,f
10022,3,-1.4426924,1,3,3,0,1,1,3
10022,3,4,1,3,3,0,1,1,6
10022,3,50,1,3,3,0,1,1,7
10022,3,-1.2276242,1,3,3,0,1,1,4
10022,3,-1.2864616,1,3,3,0,1,1,1
10022,3,38,1,3,3,0,1,1,10
10023,3,45,1,1,1,1,0,0,10
10023,3,9,1,1,1,1,0,0,5
10023,3,.28054115,1,1,1,1,0,0,4
10023,3,15,1,1,1,1,0,0,6
10027,3,100,0,1,0,1,0,0,8
10027,3,15,0,1,0,1,0,0,6
10027,3,8,0,1,0,1,0,0,5
10027,3,.87853616,0,1,0,1,0,0,2
10027,3,1.3552606,0,1,0,1,0,0,1
10027,3,1.8655573,0,1,0,1,0,0,3
10027,3,.7532497,0,1,0,1,0,0,4
10027,3,80,0,1,0,1,0,0,7
10028,3,-1.0025249,0,1,0,0,1,0,4
10028,3,1.2413592,0,1,0,0,1,0,3
10028,3,90,0,1,0,0,1,0,7
10028,3,11,0,1,0,0,1,0,6
10028,3,-.30339643,0,1,0,0,1,0,2
10028,3,9,0,1,0,0,1,0,5
10028,3,73,0,1,0,0,1,0,8
10028,3,-.5279473099999999,0,1,0,0,1,0,1
10029,3,8,0,1,0,0,1,0,6
10029,3,70,0,1,0,0,1,0,7
10029,3,-1.4752334,0,1,0,0,1,0,4
10029,3,7,0,1,0,0,1,0,5
10029,3,46,0,1,0,0,1,0,10
10029,3,53,0,1,0,0,1,0,8
10029,3,-2.2541499,0,1,0,0,1,0,3
10029,3,-1.8357306,0,1,0,0,1,0,1
10029,3,-.83149397,0,1,0,0,1,0,2
10030,3,10,0,1,0,0,1,0,6
10030,3,-1.082969,0,1,0,0,1,0,2
10030,3,-.68488127,0,1,0,0,1,0,1
10030,3,90,0,1,0,0,1,0,7
10030,3,9,0,1,0,0,1,0,5
10030,3,-.52981639,0,1,0,0,1,0,4
10030,3,67,0,1,0,0,1,0,8
10030,3,-1.4426924,0,1,0,0,1,0,3
10031,3,100,0,1,0,0,0,0,7
10031,3,47,0,1,0,0,0,0,10
10031,3,10,0,1,0,0,0,0,5
10031,3,73,0,1,0,0,0,0,8
10031,3,-.30339643,0,1,0,0,0,0,2
10031,3,-.083301008,0,1,0,0,0,0,1
10031,3,.024173059,0,1,0,0,0,0,3
10031,3,11,0,1,0,0,0,0,6
10031,3,-.28220713,0,1,0,0,0,0,4
10032,3,-.42913392,0,3,0,0,1,0,2
10032,3,15,0,3,0,0,1,0,6
10032,3,1.3974088,0,3,0,0,1,0,3
10032,3,-1.3851937,0,3,0,0,1,0,4
10032,3,60,0,3,0,0,1,0,7
10032,3,6,0,3,0,0,1,0,5
10032,3,-1.3910842,0,3,0,0,1,0,1
10032,3,53,0,3,0,0,1,0,10
10032,3,100,0,3,0,0,1,0,8
10033,3,1.0683887,0,3,1,1,0,0,4
10033,3,10,0,3,1,1,0,0,5
10033,3,41,0,3,1,1,0,0,10
10033,3,14,0,3,1,1,0,0,6
10034,3,-.43977663,0,2,0,1,1,0,4
10034,3,37,0,2,0,1,1,0,10
10034,3,12,0,2,0,1,1,0,6
10034,3,7,0,2,0,1,1,0,5
10038,3,-1.1556833,0,1,0,0,0,0,1
10038,3,-.6936547199999999,0,1,0,0,0,0,3
10038,3,60,0,1,0,0,0,0,7
10038,3,73,0,1,0,0,0,0,8
10038,3,-1.0700547,0,1,0,0,0,0,4
10038,3,58,0,1,0,0,0,0,10
10038,3,6,0,1,0,0,0,0,5
10038,3,11,0,1,0,0,0,0,6
10038,3,-.85664147,0,1,0,0,0,0,2
10039,3,-1.2338539,0,3,0,1,1,1,2
10039,3,9,0,3,0,1,1,1,6
10039,3,-.91248518,0,3,0,1,1,1,4
10039,3,.27385229,0,3,0,1,1,1,3
10039,3,49,0,3,0,1,1,1,10
10039,3,70,0,3,0,1,1,1,7
10039,3,60,0,3,0,1,1,1,8
10039,3,7,0,3,0,1,1,1,5
10039,3,-.34485766,0,3,0,1,1,1,1
10040,3,48,0,2,0,1,0,1,10
10042,3,.80309367,0,3,0,1,1,1,2
10042,3,6,0,3,0,1,1,1,5
10042,3,15,0,3,0,1,1,1,6
10042,3,-.84495538,0,3,0,1,1,1,4
10042,3,-.25671607,0,3,0,1,1,1,3
10042,3,-.60641432,0,3,0,1,1,1,1
10042,3,100,0,3,0,1,1,1,8
10042,3,60,0,3,0,1,1,1,7
10042,3,47,0,3,0,1,1,1,10
10050,3,.077951774,1,1,1,1,0,0,4
10050,3,100,1,1,1,1,0,0,7
10050,3,80,1,1,1,1,0,0,8
10050,3,-.0016263996,1,1,1,1,0,0,2
10050,3,12,1,1,1,1,0,0,6
10050,3,10,1,1,1,1,0,0,5
10050,3,.42990181,1,1,1,1,0,0,3
10050,3,.021321654,1,1,1,1,0,0,1
10052,3,43,0,1,0,0,1,0,10
10055,3,-.41276559,0,3,0,1,1,1,3
10055,3,100,0,3,0,1,1,1,7
10055,3,.46596795,0,3,0,1,1,1,1
10055,3,.077951774,0,3,0,1,1,1,4
10055,3,100,0,3,0,1,1,1,8
10055,3,.37558612,0,3,0,1,1,1,2
10055,3,10,0,3,0,1,1,1,5
10055,3,15,0,3,0,1,1,1,6
10056,3,-.038246747,0,2,0,1,0,1,3
10056,3,.48313054,0,2,0,1,0,1,4
10056,3,8,0,2,0,1,0,1,5
10056,3,12,0,2,0,1,0,1,6
10056,3,43,0,2,0,1,0,1,10
10056,3,80,0,2,0,1,0,1,8
10056,3,.96292561,0,2,0,1,0,1,1
10056,3,80,0,2,0,1,0,1,7
10056,3,-.63031393,0,2,0,1,0,1,2
10058,3,11,0,1,0,1,1,0,6
10058,3,-1.6003295,0,1,0,1,1,0,1
10058,3,-1.2866429,0,1,0,1,1,0,3
10058,3,3,0,1,0,1,1,0,5
10058,3,30,0,1,0,1,1,0,7
10058,3,73,0,1,0,1,1,0,8
10058,3,-1.6110665,0,1,0,1,1,0,2
10058,3,-1.2276242,0,1,0,1,1,0,4
10058,3,35,0,1,0,1,1,0,10
10061,3,-1.8357306,0,2,0,0,1,0,1
10061,3,-1.5652732,0,2,0,0,1,0,4
10061,3,33,0,2,0,0,1,0,8
10061,3,-1.8122466,0,2,0,0,1,0,2
10061,3,5,0,2,0,0,1,0,6
10061,3,-1.5051122,0,2,0,0,1,0,3
10061,3,4,0,2,0,0,1,0,5
10061,3,40,0,2,0,0,1,0,7
10062,3,-.75607455,0,1,0,0,1,1,3
10062,3,0,0,1,0,0,1,1,5
10062,3,-1.3176639,0,1,0,0,1,1,4
10062,3,0,0,1,0,0,1,1,7
10062,3,-1.7619516,0,1,0,0,1,1,2
10062,3,5,0,1,0,0,1,1,6
10062,3,-1.9665089,0,1,0,0,1,1,1
10062,3,38,0,1,0,0,1,1,10
10062,3,33,0,1,0,0,1,1,8
10063,3,53,0,2,0,0,1,0,8
10063,3,-.81565964,0,2,0,0,1,0,1
10063,3,-.88091415,0,2,0,0,1,0,3
10063,3,8,0,2,0,0,1,0,5
10063,3,80,0,2,0,0,1,0,7
10063,3,50,0,2,0,0,1,0,10
10063,3,-.75491565,0,2,0,0,1,0,4
10063,3,8,0,2,0,0,1,0,6
10063,3,-1.3595915,0,2,0,0,1,0,2
10064,3,50,0,2,0,0,1,1,10
10064,3,-1.2276242,0,2,0,0,1,1,4
10064,3,.33627209,0,2,0,0,1,1,3
10064,3,-.60641432,0,2,0,0,1,1,1
10064,3,-1.4601815,0,2,0,0,1,1,2
10064,3,80,0,2,0,0,1,1,7
10064,3,8,0,2,0,0,1,1,5
10064,3,27,0,2,0,0,1,1,8
10064,3,4,0,2,0,0,1,1,6
10066,3,-.83149397,1,1,1,1,1,0,2
10066,3,7,1,1,1,1,1,0,5
10066,3,70,1,1,1,1,1,0,7
10066,3,-1.2866429,1,1,1,1,1,0,3
10066,3,-.78950393,1,1,1,1,1,0,1
10066,3,11,1,1,1,1,1,0,6
10066,3,-1.3851937,1,1,1,1,1,0,4
10066,3,73,1,1,1,1,1,0,8
10066,3,35,1,1,1,1,1,0,10
10067,3,100,0,1,0,1,1,0,8
10067,3,.19955361,0,1,0,1,1,0,2
10067,3,42,0,1,0,1,1,0,10
10067,3,.077951774,0,1,0,1,1,0,4
10067,3,8,0,1,0,1,1,0,5
10067,3,15,0,1,0,1,1,0,6
10067,3,.51827931,0,1,0,1,1,0,1
10067,3,80,0,1,0,1,1,0,7
10067,3,1.5222484,0,1,0,1,1,0,3
10068,3,.42990181,1,1,1,1,0,0,3
10068,3,-.42913392,1,1,1,1,0,0,2
10068,3,9,1,1,1,1,0,0,5
10068,3,38,1,1,1,1,0,0,10
10068,3,12,1,1,1,1,0,0,6
10068,3,-.10212767,1,1,1,1,0,0,4
10068,3,80,1,1,1,1,0,0,8
10068,3,.021321654,1,1,1,1,0,0,1
10068,3,90,1,1,1,1,0,0,7
10069,3,73,1,2,2,0,1,1,8
10069,3,-.81849432,1,2,2,0,1,1,3
10069,3,-.25310141,1,2,2,0,1,1,2
10069,3,60,1,2,2,0,1,1,7
10069,3,11,1,2,2,0,1,1,6
10069,3,-.083301008,1,2,2,0,1,1,1
10069,3,-.37224683,1,2,2,0,1,1,4
10069,3,38,1,2,2,0,1,1,10
10069,3,6,1,2,2,0,1,1,5
10072,3,9,0,2,0,0,1,1,6
10072,3,10,0,2,0,0,1,1,5
10072,3,-.68738586,0,2,0,0,1,1,4
10072,3,-1.5104765,0,2,0,0,1,1,2
10072,3,41,0,2,0,0,1,1,10
10072,3,-.34485766,0,2,0,0,1,1,1
10072,3,60,0,2,0,0,1,1,8
10072,3,100,0,2,0,0,1,1,7
10072,3,-.35034579,0,2,0,0,1,1,3
10073,3,8,1,1,1,0,1,1,5
10073,3,-.91248518,1,1,1,0,1,1,4
10073,3,3,1,1,1,0,1,1,6
10075,3,32,0,1,0,0,0,0,10
10075,3,70,0,1,0,0,0,0,7
10075,3,-.051921401,0,1,0,0,0,0,2
10075,3,7,0,1,0,0,0,0,5
10075,3,.80442065,0,1,0,0,0,0,3
10075,3,12,0,1,0,0,0,0,6
10075,3,.7532497,0,1,0,0,0,0,4
10075,3,80,0,1,0,0,0,0,8
10075,3,-.240235,0,1,0,0,0,0,1
10078,3,48,0,2,1,0,1,0,10
10078,3,8,0,2,1,0,1,0,5
10078,3,80,0,2,1,0,1,0,7
10078,3,-.28220713,0,2,1,0,1,0,4
10078,3,-.030989677,0,2,1,0,1,0,1
10078,3,80,0,2,1,0,1,0,8
10078,3,-.6312348800000001,0,2,1,0,1,0,3
10078,3,12,0,2,1,0,1,0,6
10078,3,-.10221641,0,2,1,0,1,0,2
10079,3,-.81565964,0,1,0,0,1,0,1
10079,3,13,0,1,0,0,1,0,6
10079,3,87,0,1,0,0,1,0,8
10079,3,8,0,1,0,0,1,0,5
10079,3,-.75491565,0,1,0,0,1,0,4
10079,3,-.20280641,0,1,0,0,1,0,2
10079,3,80,0,1,0,0,1,0,7
10079,3,37,0,1,0,0,1,0,10
10079,3,.27385229,0,1,0,0,1,0,3
10080,3,.048668604,0,1,0,0,1,1,2
10080,3,-.083301008,0,1,0,0,1,1,1
10080,3,.11780277,0,1,0,0,1,1,3
10080,3,10,0,1,0,0,1,1,5
10080,3,-.52981639,0,1,0,0,1,1,4
10080,3,11,0,1,0,0,1,1,6
10080,3,73,0,1,0,0,1,1,8
10080,3,100,0,1,0,0,1,1,7
10082,3,15,0,1,0,1,0,0,6
10082,3,10,0,1,0,1,0,0,5
10082,3,.67521328,0,1,0,1,0,0,1
10082,3,1.1803062,0,1,0,1,0,0,2
10082,3,100,0,1,0,1,0,0,7
10082,3,1.2413592,0,1,0,1,0,0,3
10082,3,100,0,1,0,1,0,0,8
10082,3,.28054115,0,1,0,1,0,0,4
10082,3,41,0,1,0,1,0,0,10
10085,3,-.68738586,0,3,0,0,1,0,4
10085,3,.11780277,0,3,0,0,1,0,3
10085,3,8,0,3,0,0,1,0,5
10085,3,53,0,3,0,0,1,0,8
10085,3,49,0,3,0,0,1,0,10
10085,3,-.18792367,0,3,0,0,1,0,1
10085,3,8,0,3,0,0,1,0,6
10085,3,-.10221641,0,3,0,0,1,0,2
10085,3,80,0,3,0,0,1,0,7
10086,3,-.88091415,0,2,0,0,1,0,3
10086,3,47,0,2,0,0,1,0,8
10086,3,-1.6003295,0,2,0,0,1,0,1
10086,3,-1.4752334,0,2,0,0,1,0,4
10086,3,9,0,2,0,0,1,0,5
10086,3,7,0,2,0,0,1,0,6
10086,3,90,0,2,0,0,1,0,7
10086,3,-.63031393,0,2,0,0,1,0,2
10086,3,43,0,2,0,0,1,0,10
10088,3,10,0,1,0,1,0,0,5
10088,3,56,0,1,0,1,0,0,10
10088,3,15,0,1,0,1,0,0,6
10088,3,100,0,1,0,1,0,0,7
10088,3,100,0,1,0,1,0,0,8
10089,3,-1.0700547,0,2,0,0,1,1,4
10089,3,-1.4426924,0,2,0,0,1,1,3
10089,3,2,0,2,0,0,1,1,5
10089,3,5,0,2,0,0,1,1,6
10089,3,-.9202823,0,2,0,0,1,1,1
10089,3,-1.9128366,0,2,0,0,1,1,2
10089,3,20,0,2,0,0,1,1,7
10089,3,47,0,2,0,0,1,1,10
10089,3,33,0,2,0,0,1,1,8
10090,3,-1.0772163,0,2,0,0,1,1,1
10090,3,43,0,2,0,0,1,1,10
10090,3,30,0,2,0,0,1,1,7
10090,3,-2.038574,0,2,0,0,1,1,2
10090,3,-1.5051122,0,2,0,0,1,1,3
10090,3,3,0,2,0,0,1,1,5
10090,3,-.91248518,0,2,0,0,1,1,4
10090,3,3,0,2,0,0,1,1,6
10090,3,20,0,2,0,0,1,1,8
10092,3,15,0,3,0,1,1,1,6
10092,3,.72765112,0,3,0,1,1,1,2
10092,3,100,0,3,0,1,1,1,8
10092,3,.11780277,0,3,0,1,1,1,3
10092,3,43,0,3,0,1,1,1,10
10092,3,.28054115,0,3,0,1,1,1,4
10092,3,10,0,3,0,1,1,1,5
10092,3,.67521328,0,3,0,1,1,1,1
10092,3,100,0,3,0,1,1,1,7
10093,3,-1.736804,0,2,0,0,1,0,2
10093,3,56,0,2,0,0,1,0,10
10093,3,-1.2276242,0,2,0,0,1,0,4
10093,3,.33627209,0,2,0,0,1,0,3
10093,3,40,0,2,0,0,1,0,8
10093,3,-1.0510606,0,2,0,0,1,0,1
10093,3,80,0,2,0,0,1,0,7
10093,3,6,0,2,0,0,1,0,6
10093,3,8,0,2,0,0,1,0,5
10094,3,-.083301008,0,1,0,0,1,0,1
10094,3,.14925861,0,1,0,0,1,0,2
10094,3,14,0,1,0,0,1,0,6
10094,3,3,0,1,0,0,1,0,5
10094,3,-.19429627,0,1,0,0,1,0,3
10094,3,93,0,1,0,0,1,0,8
10094,3,30,0,1,0,0,1,0,7
10094,3,-.52981639,0,1,0,0,1,0,4
10097,3,-.41276559,0,3,0,1,1,0,3
10097,3,-1.0075265,0,3,0,1,1,0,2
10097,3,9,0,3,0,1,1,0,6
10097,3,60,0,3,0,1,1,0,8
10097,3,50,0,3,0,1,1,0,7
10097,3,46,0,3,0,1,1,0,10
10097,3,-.59734613,0,3,0,1,1,0,4
10097,3,-.86797094,0,3,0,1,1,0,1
10097,3,5,0,3,0,1,1,0,5
10098,3,-1.2603059,1,3,3,1,1,0,1
10098,3,87,1,3,3,1,1,0,8
10098,3,-.63031393,1,3,3,1,1,0,2
10098,3,70,1,3,3,1,1,0,7
10098,3,42,1,3,3,1,1,0,10
10098,3,7,1,3,3,1,1,0,5
10098,3,.33627209,1,3,3,1,1,0,3
10098,3,13,1,3,3,1,1,0,6
10098,3,-1.8353924,1,3,3,1,1,0,4
10099,3,-.68738586,0,1,0,1,0,0,4
10099,3,-.038246747,0,1,0,1,0,0,3
10099,3,-1.5104765,0,1,0,1,0,0,2
10099,3,11,0,1,0,1,0,0,6
10099,3,2,0,1,0,1,0,0,5
10099,3,20,0,1,0,1,0,0,7
10099,3,73,0,1,0,1,0,0,8
10099,3,-.34485766,0,1,0,1,0,0,1
10099,3,35,0,1,0,1,0,0,10
10100,3,15,0,3,0,1,1,1,6
10100,3,35,0,3,0,1,1,1,10
10100,3,7,0,3,0,1,1,1,5
10100,3,100,0,3,0,1,1,1,8
10100,3,70,0,3,0,1,1,1,7
10101,3,-.37101331,0,1,0,1,0,1,1
10101,3,-.37224683,0,1,0,1,0,1,4
10101,3,42,0,1,0,1,0,1,10
10101,3,.14925861,0,1,0,1,0,1,2
10101,3,-1.1618032,0,1,0,1,0,1,3
10102,3,10,0,1,0,0,1,1,5
10102,3,-.1921674,0,1,0,0,1,1,4
10102,3,.11780277,0,1,0,0,1,1,3
10102,3,60,0,1,0,0,1,1,8
10102,3,-.42913392,0,1,0,0,1,1,2
10102,3,100,0,1,0,0,1,1,7
10102,3,9,0,1,0,0,1,1,6
10102,3,-.083301008,0,1,0,0,1,1,1
10103,3,1.2506379,0,2,0,1,0,0,1
10103,3,47,0,2,0,1,0,0,10
10103,3,2.4640045,0,2,0,1,0,0,4
10103,3,.18022257,0,2,0,1,0,0,3
10103,3,93,0,2,0,1,0,0,8
10103,3,1.4066337,0,2,0,1,0,0,2
10103,3,9,0,2,0,1,0,0,5
10103,3,14,0,2,0,1,0,0,6
10103,3,90,0,2,0,1,0,0,7
10104,3,100,0,3,0,1,0,1,8
10104,3,90,0,3,0,1,0,1,7
10104,3,1.1803062,0,3,0,1,0,1,2
10104,3,1.2709781,0,3,0,1,0,1,4
10104,3,.61716121,0,3,0,1,0,1,3
10104,3,15,0,3,0,1,0,1,6
10104,3,9,0,3,0,1,0,1,5
10104,3,38,0,3,0,1,0,1,10
10104,3,1.1460153,0,3,0,1,0,1,1
10105,3,-.47563598,0,3,0,1,0,1,1
10105,3,-.94333392,0,3,0,1,0,1,3
10105,3,9,0,3,0,1,0,1,5
10105,3,90,0,3,0,1,0,1,7
10105,3,.077951774,0,3,0,1,0,1,4
10105,3,14,0,3,0,1,0,1,6
10105,3,-.10221641,0,3,0,1,0,1,2
10105,3,42,0,3,0,1,0,1,10
10105,3,93,0,3,0,1,0,1,8
10108,3,.45102862,0,3,0,1,0,0,2
10108,3,7,0,3,0,1,0,0,5
10108,3,-.43977663,0,3,0,1,0,0,4
10108,3,-.13561234,0,3,0,1,0,0,1
10108,3,87,0,3,0,1,0,0,8
10108,3,13,0,3,0,1,0,0,6
10108,3,48,0,3,0,1,0,0,10
10108,3,.27385229,0,3,0,1,0,0,3
10108,3,70,0,3,0,1,0,0,7
10110,3,13,1,1,1,1,1,1,6
10110,3,-.13561234,1,1,1,1,1,1,1
10110,3,87,1,1,1,1,1,1,8
10110,3,-.59734613,1,1,1,1,1,1,4
10110,3,-1.1618032,1,1,1,1,1,1,3
10110,3,-.68060893,1,1,1,1,1,1,2
10110,3,100,1,1,1,1,1,1,7
10110,3,10,1,1,1,1,1,1,5
10110,3,46,1,1,1,1,1,1,10
10111,3,1.5222484,1,2,2,1,1,1,3
10111,3,100,1,2,2,1,1,1,8
10111,3,34,1,2,2,1,1,1,10
10111,3,15,1,2,2,1,1,1,6
10111,3,100,1,2,2,1,1,1,7
10111,3,10,1,2,2,1,1,1,5
10111,3,.96292561,1,2,2,1,1,1,1
10111,3,1.2808962,1,2,2,1,1,1,2
10111,3,1.8787463,1,2,2,1,1,1,4
10113,3,.28287831,0,2,0,1,0,0,1
10113,3,12,0,2,0,1,0,0,6
10113,3,45,0,2,0,1,0,0,10
10113,3,.19955361,0,2,0,1,0,0,2
10113,3,-.01208795,0,2,0,1,0,0,4
10113,3,.11780277,0,2,0,1,0,0,3
10113,3,80,0,2,0,1,0,0,8
10113,3,80,0,2,0,1,0,0,7
10113,3,8,0,2,0,1,0,0,5
10116,3,-2.0888691,0,1,0,1,0,0,2
10116,3,-1.8357306,0,1,0,1,0,0,1
10116,3,47,0,1,0,1,0,0,10
10116,3,-1.0025249,0,1,0,1,0,0,4
10116,3,-1.4426924,0,1,0,1,0,0,3
10117,3,-1.0772163,1,2,2,1,1,0,1
10117,3,2.0528169,1,2,2,1,1,0,3
10117,3,40,1,2,2,1,1,0,10
10117,3,-.70575643,1,2,2,1,1,0,2
10117,3,8,1,2,2,1,1,0,5
10117,3,80,1,2,2,1,1,0,7
10117,3,-1.6553129,1,2,2,1,1,0,4
10118,3,11,0,3,0,1,0,0,6
10118,3,-1.384739,0,3,0,1,0,0,2
10118,3,2,0,3,0,1,0,0,5
10118,3,-.88091415,0,3,0,1,0,0,3
10118,3,-.75491565,0,3,0,1,0,0,4
10118,3,-1.2603059,0,3,0,1,0,0,1
10118,3,20,0,3,0,1,0,0,7
10118,3,73,0,3,0,1,0,0,8
10118,3,39,0,3,0,1,0,0,10
10121,3,.37058088,0,2,1,1,0,1,4
10121,3,1.1803062,0,2,1,1,0,1,2
10121,3,14,0,2,1,1,0,1,6
10121,3,.80599159,0,2,1,1,0,1,1
10121,3,35,0,2,1,1,0,1,10
10121,3,1.3974088,0,2,1,1,0,1,3
10121,3,9,0,2,1,1,0,1,5
10121,3,90,0,2,1,1,0,1,7
10121,3,93,0,2,1,1,0,1,8
10123,3,1.8787463,0,3,0,0,1,1,4
10123,3,1.02289,0,3,0,0,1,1,3
10123,3,100,0,3,0,0,1,1,8
10123,3,2.6107326,0,3,0,0,1,1,1
10123,3,15,0,3,0,0,1,1,6
10123,3,43,0,3,0,0,1,1,10
10123,3,10,0,3,0,0,1,1,5
10123,3,100,0,3,0,0,1,1,7
10123,3,3.971679,0,3,0,0,1,1,2
10124,3,-.75491565,0,2,0,1,0,0,4
10124,3,60,0,2,0,1,0,0,7
10124,3,43,0,2,0,1,0,0,10
10124,3,-.13187645,0,2,0,1,0,0,3
10124,3,.50132364,0,2,0,1,0,0,2
10124,3,-1.3387729,0,2,0,1,0,0,1
10124,3,15,0,2,0,1,0,0,6
10124,3,6,0,2,0,1,0,0,5
10124,3,100,0,2,0,1,0,0,8
10125,3,14,0,1,0,1,0,1,6
10125,3,.32529113,0,1,0,1,0,1,2
10125,3,-.28220713,0,1,0,1,0,1,4
10125,3,10,0,1,0,1,0,1,5
10125,3,44,0,1,0,1,0,1,10
10125,3,100,0,1,0,1,0,1,7
10125,3,1.5222484,0,1,0,1,0,1,3
10125,3,.28287831,0,1,0,1,0,1,1
10125,3,93,0,1,0,1,0,1,8
10127,3,1.2808962,1,1,1,1,0,0,2
10127,3,42,1,1,1,1,0,0,10
10127,3,1.6782979,1,1,1,1,0,0,3
10127,3,15,1,1,1,1,0,0,6
10127,3,1.9045296,1,1,1,1,0,0,1
10127,3,100,1,1,1,1,0,0,8
10127,3,100,1,1,1,1,0,0,7
